leadtime,shortage,setup,lostsales,CV,horizon,ADI,policy,mu_dist_bounds,avg_cost,MC_std,train_time_s,forecast_id,agent_id
2,10.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8113.8899897862275,158.06089215899192,3328.253819993,4,5
2,10.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8046.6594549056235,139.89391543770617,3328.253819993,5,5
2,10.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8024.118490442333,113.61856141556562,3328.253819993,6,5
2,10.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-7640.186856645691,147.2439427864572,3328.253819993,7,5
2,10.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8619.1867825099,124.6935837853578,3328.253819993,8,5
2,50.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6457.687495094344,162.20678781284536,3619.121847851,1,21
2,50.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8693.141678617616,229.36381168014566,3619.121847851,2,21
2,50.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-11253.576858653812,356.83739480116355,3619.121847851,3,21
2,50.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8658.504521744839,241.80287442282096,3619.121847851,4,21
2,50.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8626.33185183572,243.86209844181187,3619.121847851,5,21
2,50.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8650.886977519189,256.77421263995876,3619.121847851,6,21
2,50.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8128.448388695439,207.16530368029086,3619.121847851,7,21
2,50.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9549.21598265775,303.992041380864,3619.121847851,8,21
2,25.0,320,false,0.2,16,false,sSPolicy,"(0.0, 20.0)",-6364.4846364165105,158.1307845870982,2945.044417696,1,14
2,25.0,320,false,0.2,16,false,sSPolicy,"(0.0, 20.0)",-8507.165548564964,173.87364432966712,2945.044417696,2,14
2,25.0,320,false,0.2,16,false,sSPolicy,"(0.0, 20.0)",-10734.52277042428,237.23297535114395,2945.044417696,3,14
2,25.0,320,false,0.2,16,false,sSPolicy,"(0.0, 20.0)",-8504.77079451197,194.01040431565738,2945.044417696,4,14
2,25.0,320,false,0.2,16,false,sSPolicy,"(0.0, 20.0)",-8464.794991319553,206.22368782030395,2945.044417696,5,14
2,25.0,320,false,0.2,16,false,sSPolicy,"(0.0, 20.0)",-8418.00048437665,200.67858909384807,2945.044417696,6,14
2,25.0,320,false,0.2,16,false,sSPolicy,"(0.0, 20.0)",-7993.002966104827,177.2387529499381,2945.044417696,7,14
2,25.0,320,false,0.2,16,false,sSPolicy,"(0.0, 20.0)",-9097.943815839,213.75695286506985,2945.044417696,8,14
2,75.0,320,true,0.2,16,false,sSPolicy,"(0.0, 20.0)",-6662.826663455263,165.73923600844685,2980.381996435,1,30
2,75.0,320,true,0.2,16,false,sSPolicy,"(0.0, 20.0)",-8841.526124032693,306.36532416080087,2980.381996435,2,30
2,75.0,320,true,0.2,16,false,sSPolicy,"(0.0, 20.0)",-11605.39912648994,511.5903735768804,2980.381996435,3,30
2,75.0,320,true,0.2,16,false,sSPolicy,"(0.0, 20.0)",-8844.623692834211,309.6463103150601,2980.381996435,4,30
2,75.0,320,true,0.2,16,false,sSPolicy,"(0.0, 20.0)",-8871.713510284215,327.4779529682826,2980.381996435,5,30
2,75.0,320,true,0.2,16,false,sSPolicy,"(0.0, 20.0)",-8881.751993312455,367.69065447391796,2980.381996435,6,30
2,75.0,320,true,0.2,16,false,sSPolicy,"(0.0, 20.0)",-8296.506378779412,248.33082293612947,2980.381996435,7,30
2,75.0,320,true,0.2,16,false,sSPolicy,"(0.0, 20.0)",-9908.941703634202,422.4984331111786,2980.381996435,8,30
2,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6186.710718473751,150.7292824201681,3481.240048015,1,6
2,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8490.825802479674,175.74180606663745,3481.240048015,2,6
2,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-10889.404552628013,236.75480934785728,3481.240048015,3,6
2,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8447.26232073371,194.67400332641256,3481.240048015,4,6
2,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8397.246013298758,174.27980853961057,3481.240048015,5,6
2,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8400.460224986204,166.69380595545053,3481.240048015,6,6
2,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-7949.458705571725,145.30735048307398,3481.240048015,7,6
2,25.0,320,false,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9126.22816047537,196.56225141659752,3481.240048015,8,6
2,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-6668.2721795956195,165.73423029836096,3413.156526949,1,22
2,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8839.305261335296,268.3290839289581,3413.156526949,2,22
2,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-11511.796283608364,475.5478275331734,3413.156526949,3,22
2,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8814.71736669153,299.82481921398164,3413.156526949,4,22
2,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8821.397443781698,326.91150463494733,3413.156526949,5,22
2,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8880.95656032606,378.269192517316,3413.156526949,6,22
2,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-8286.623265204606,234.6949029528745,3413.156526949,7,22
2,75.0,320,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",-9905.028173967044,411.28595308054037,3413.156526949,8,22
2,25.0,320,false,0.2,8,false,sSPolicy,"(0.0, 20.0)",-6367.49518466995,151.01565987463115,2951.770986822,1,15
2,25.0,320,false,0.2,8,false,sSPolicy,"(0.0, 20.0)",-8499.969859718809,162.87420485979885,2951.770986822,2,15
2,25.0,320,false,0.2,8,false,sSPolicy,"(0.0, 20.0)",-10724.890851862914,252.7826867758045,2951.770986822,3,15
2,25.0,320,false,0.2,8,false,sSPolicy,"(0.0, 20.0)",-8513.33687006063,180.59966257708842,2951.770986822,4,15
2,25.0,320,false,0.2,8,false,sSPolicy,"(0.0, 20.0)",-8500.482553348997,184.76770000497223,2951.770986822,5,15
2,25.0,320,false,0.2,8,false,sSPolicy,"(0.0, 20.0)",-8423.696323279766,187.3109443508549,2951.770986822,6,15
2,25.0,320,false,0.2,8,false,sSPolicy,"(0.0, 20.0)",-8014.229855721097,164.54337576829212,2951.770986822,7,15
