leadtime,shortage,setup,lostsales,CV,horizon,ADI,policy,mu_dist_bounds,avg_cost,MC_std,train_time_s,forecast_id,agent_id,stockoutrate
4,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2579.0535520248413,144.6691209866955,1152.824835596,5,101,0.03918816234750256
4,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2609.0000188732147,142.76858183657743,1152.824835596,6,101,0.041996465675941175
4,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2456.633445438385,120.63636145232658,1152.824835596,7,101,0.031993328626592155
4,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2891.64155745697,158.76803533859385,1152.824835596,8,101,0.038235196267452275
8,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2073.9952189826963,138.52678722207446,1090.334712866,1,93,0.07533269584103197
8,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2190.2692800598143,133.41382382728287,1090.334712866,2,93,0.08437544755748898
8,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2601.1132509307863,144.28464770751825,1090.334712866,3,93,0.09568080993141483
8,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2251.302062927246,147.0493514923199,1090.334712866,4,93,0.09453741279952133
8,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2323.1159062671663,148.76605782470904,1090.334712866,5,93,0.12394142645229425
8,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2270.154161540985,126.25275121759749,1090.334712866,6,93,0.13088948095662456
8,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2293.592908088684,121.97415807912023,1090.334712866,7,93,0.09494147635440055
8,5.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2366.9898868751525,166.44554475220536,1090.334712866,8,93,0.09031470139312998
8,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2476.7272489356997,132.6130197760505,1148.320278425,1,102,0.050493887547809965
8,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2873.0429004592897,192.02397992108087,1148.320278425,2,102,0.04456252943168579
8,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3661.9202863693235,255.49811104815134,1148.320278425,3,102,0.055016721021690154
8,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2933.560104232788,196.5401102632553,1148.320278425,4,102,0.06942798748615382
8,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3082.265780216217,204.60693495595117,1148.320278425,5,102,0.09349963785557393
8,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3140.1905433387756,203.4798345218638,1148.320278425,6,102,0.09177894485246714
8,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2939.36301228714,179.02856822607473,1148.320278425,7,102,0.04626811123413202
8,10.0,20,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3252.1520278701782,227.30241510933132,1148.320278425,8,102,0.06501818826875885
2,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1632.2202414503097,71.5159412800843,1085.317443221,1,94,0.04092319396488432
2,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2011.8690038642883,92.84166175278554,1085.317443221,2,94,0.01716361560218039
2,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2407.8795046691894,124.05843362910952,1085.317443221,3,94,0.013865993247444227
2,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1988.4464357976913,103.31333007453232,1085.317443221,4,94,0.022834325361315244
2,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1977.761783273697,111.48345142297404,1085.317443221,5,94,0.029626108660492756
2,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1988.9598232440949,103.45796356901685,1085.317443221,6,94,0.025999466991577205
2,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1901.830314704895,92.77809028776238,1085.317443221,7,94,0.02250085805346246
2,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2175.329585887909,106.21396362563723,1085.317443221,8,94,0.02001643257804978
2,5.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1914.7771694068908,59.42321316100337,1152.087337242,1,103,0.11087070623734241
2,5.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2601.6319908714295,92.6434167477781,1152.087337242,2,103,0.11396762220330582
2,5.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",3291.5797247047426,117.03082841227511,1152.087337242,3,103,0.1134773350640175
2,5.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2620.941102531433,86.63824527434473,1152.087337242,4,103,0.10351294004179487
2,5.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2625.1945301380156,89.95661642478076,1152.087337242,5,103,0.1237503588882057
2,5.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2612.9370038433076,97.17902895059215,1152.087337242,6,103,0.13329854514009998
2,5.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2445.648316957474,92.44961120009172,1152.087337242,7,103,0.12978418723360832
2,5.0,30,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2764.0474623584746,92.07969329481224,1152.087337242,8,103,0.09461249698178376
4,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",1865.0075419483185,92.53782859711542,1085.837286182,1,95,0.04676599154742704
4,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2165.985641170502,130.73663700891083,1085.837286182,2,95,0.02748102246105395
4,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2608.7254192581177,176.4277990036346,1085.837286182,3,95,0.029019023873075894
4,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2166.1098544139863,137.3703715755001,1085.837286182,4,95,0.031665035085559116
4,10.0,10,true,0.2,32,false,sSPolicy,"(0.0, 20.0)",2186.526595014572,149.62795903750208,1085.837286182,5,95,0.04256207422549719
