leadtime,shortage,setup,lostsales,CV,horizon,forecast_id,simple_cost,simple_MC_std,simple_solve_time_s
2,75.0,0,true,0.2,32,8,1771.2372727920474,354.0551577067149,0.000857759332
2,75.0,320,true,0.2,4,1,6373.97437106372,65.99998126388651,0.000928353501
2,75.0,320,true,0.2,4,2,9339.227952083142,170.461418163577,0.000929857069
2,75.0,320,true,0.2,4,3,12258.516946891332,331.43721276189103,0.0009300819219999999
2,75.0,320,true,0.2,4,4,9223.462266643835,208.15437813307767,0.000931104014
2,75.0,320,true,0.2,4,5,9255.50257059447,224.22247286508463,0.000925663227
2,75.0,320,true,0.2,4,6,9469.739216427617,249.08779543716224,0.000952474341
2,75.0,320,true,0.2,4,7,8654.3813505415,106.69676085849886,0.000921006249
2,75.0,320,true,0.2,4,8,10415.97516906213,337.23861833350264,0.000922802661
2,25.0,320,false,0.2,4,1,6293.142821211177,66.54261888530503,0.0009371623500000001
2,25.0,320,false,0.2,4,2,9133.239724531119,140.6413561286888,0.0009432141659999999
2,25.0,320,false,0.2,4,3,11484.819323775373,164.18106915867114,0.0009378647089999999
2,25.0,320,false,0.2,4,4,8970.564423684267,143.19081272363928,0.000937479925
2,25.0,320,false,0.2,4,5,8992.085373760036,157.47514076528932,0.000936823156
2,25.0,320,false,0.2,4,6,9089.961614820188,136.01501562388668,0.0009344920169999999
2,25.0,320,false,0.2,4,7,8512.420577225,105.85678304194694,0.0009319736360000001
2,25.0,320,false,0.2,4,8,9741.376199541175,150.57595765660048,0.0009389375129999999
