lostsales,first_var,var_discount,avg_cost,MC_std,train_time_s,forecast_id,agent_id
false,0.03,0.8,-8588.283699394586,300.5157918700937,1491.585915295,4,12
false,0.03,0.8,-8537.191176389573,307.65995921593606,1491.585915295,5,12
false,0.03,0.8,-8500.582535188536,324.19084197390964,1491.585915295,6,12
false,0.03,0.8,-8099.236521880535,270.4578496603593,1491.585915295,7,12
false,0.03,0.8,-9224.120558448221,327.19304245555423,1491.585915295,8,12
true,0.05,0.99,-6474.549491043746,805.7716686870646,1557.937403476,1,27
true,0.05,0.99,-9469.480229408338,1872.0988031827326,1557.937403476,2,27
true,0.05,0.99,-12707.535652441273,2349.7179216142013,1557.937403476,3,27
true,0.05,0.99,-9392.742295527878,1689.126284910827,1557.937403476,4,27
true,0.05,0.99,-9522.03530116625,1936.236040765007,1557.937403476,5,27
true,0.05,0.99,-9753.068091128049,3963.7775774614993,1557.937403476,6,27
true,0.05,0.99,-8699.130281363374,1552.4562700715885,1557.937403476,7,27
true,0.05,0.99,-10661.795238109093,1993.9503307719433,1557.937403476,8,27
true,0.1,0.9,-6931.704397997363,1035.3441477305169,1491.025769244,1,13
true,0.1,0.9,-10005.700872189796,1903.1816811007209,1491.025769244,2,13
true,0.1,0.9,-13473.78097796835,2579.882765438497,1491.025769244,3,13
true,0.1,0.9,-10053.886852061542,2087.086352203616,1491.025769244,4,13
true,0.1,0.9,-10203.860670918622,2189.239795545022,1491.025769244,5,13
true,0.1,0.9,-10048.622869072586,1841.3997950133348,1491.025769244,6,13
true,0.1,0.9,-9170.188433456564,1789.843969844868,1491.025769244,7,13
true,0.1,0.9,-11140.958161472328,1956.1080276239811,1491.025769244,8,13
false,0.05,0.99,-6219.853371130549,817.4531858761271,1562.119489528,1,28
false,0.05,0.99,-8937.127377312794,2051.9682340903105,1562.119489528,2,28
false,0.05,0.99,-11496.338448848848,1744.451282655891,1562.119489528,3,28
false,0.05,0.99,-8916.412244134352,1544.2587165440984,1562.119489528,4,28
false,0.05,0.99,-8866.301326679666,1330.2681372694713,1562.119489528,5,28
false,0.05,0.99,-8733.117089196443,1197.817066770808,1562.119489528,6,28
false,0.05,0.99,-8358.38582400194,1365.9838221088003,1562.119489528,7,28
false,0.05,0.99,-9557.523950737133,1488.610594381452,1562.119489528,8,28
false,0.1,0.9,-6520.5043622891335,726.7830936148432,1492.146056069,1,14
false,0.1,0.9,-9155.822800445729,1217.126548353016,1492.146056069,2,14
false,0.1,0.9,-11945.781926896827,1715.4496139767773,1492.146056069,3,14
